Biomarker Name,ID,Exhaustive Synonyms,Type
Diethylphosphate (DEP),HMDB0012209,DEP,Chemical
Diethylthiophosphate (DETP),HMDB0001460,DETP,Chemical
3-Phenoxybenzoic acid,HMDB0041807,3-PBA,Chemical
Monomethylarsonic acid,HMDB0012258,MMAA,Chemical
Mono-n-butyl phthalate (MnBP),HMDB0013247,MBnP,Chemical
2-Hydroxyphenanthrene,HMDB0059798,2-Phenanthrol,Chemical
4-Hydroxyphenanthrene,HMDB0059800,4-Phenanthrol,Chemical
Benzene,HMDB0001505,,Chemical
trans-Nonachlor,HMDB0059570,,Chemical
Furan,HMDB0013785,,Chemical
Glycidamide,HMDB0252860,GA,Chemical
Bromodichloromethane,HMDB0061732,,Chemical
Tribromomethane (Bromoform),HMDB0062089,Bromoform,Chemical
Bisphenol F,HMDB0240711,BPF,Chemical
Bisphenol S,HMDB0240712,BPS,Chemical
Triclocarban,HMDB0240702,TCC,Chemical
Butyl Paraben,HMDB0032575,,Chemical
Ethyl Paraben,HMDB0032573,,Chemical
Methyl Paraben,HMDB0032572,,Chemical
n-Propyl Paraben,HMDB0032574,,Chemical
"3,5,6-Trichloro-2-pyridinol",HMDB0039853,TCPy,Chemical
Cesium,HMDB0013669,Cs,Chemical
Mono-isononyl phthalate,HMDB0244325,MiNP,Chemical
"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine",HMDB0041008,PhIP,Chemical
"1-Methyl-9H-pyrido[3,4-b]indole (Harman)",FDB021482,Harman,Chemical
"9H-Pyrido[3,4-b]indole (Norharman)",HMDB0012897,Norharman,Chemical
"1,4-Dichlorobenzene",HMDB0041971,p-Dichlorobenzene,Chemical
Methyl-tert-Butyl Ether,HMDB0061749,MTBE,Chemical
Nitromethane,HMDB0255654,,Chemical
p-Xylene,HMDB0059924,"1,4-Dimethylbenzene",Chemical
N-Acetyl-S-(2-carbamoylethyl)-L-cysteine,HMDB0247489,AAMA,Chemical
N-Acetyl-S-(2-cyanoethyl)-L-cysteine,HMDB0255060,CEMA,Chemical
2-Aminothiazoline-4-carboxylic acid,HMDB0245615,ATCA,Chemical
N-Acetyl-S-(benzyl)-L-cysteine,HMDB0255061,BMA,Chemical
ortho-Phenylphenol,HMDB0032582,"2-Phenylphenol, o-Phenylphenol",Chemical
Oxychlordane,HMDB0059571,,Chemical
Hexachlorobenzene,HMDB0032566,HCB,Chemical
beta-Hexachlorocyclohexane,HMDB0059785,β-HCH,Chemical
"2,4,4’-Tribromodiphenyl ether",HMDB0037545,BDE-28,Chemical
"2,2’,4,4’-Tetrabromodiphenyl ether",HMDB0037547,BDE-47,Chemical
"2,2’,4,4’,5-Pentabromodiphenyl ether",HMDB0037516,BDE-99,Chemical
"2,2’,4,4’,6-Pentabromodiphenyl ether",HMDB0037516,BDE-100,Chemical
"2,2’,4,4’,5,5’-Hexabromodiphenyl ether",HMDB0037525,BDE-153,Chemical
"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",HMDB0253098,HpCDD,Chemical
"1,2,3,4,6,7,8-Heptachlorodibenzofuran",HMDB0244127,HpCDF,Chemical
"3,3',4,4',5-Pentachlorobiphenyl",HMDB0246010,PCB 126,Chemical
"3,3',4,4',5,5'-Hexachlorobiphenyl",HMDB0246011,PCB 169,Chemical
"2,3,3',4,4'-Pentachlorobiphenyl",HMDB0245417,PCB 105,Chemical
"2,3',4,4',5-Pentachlorobiphenyl",HMDB0246145,PCB 118,Chemical
"2,3,3',4,4',5-Hexachlorobiphenyl",HMDB0245418,PCB 156,Chemical
"2,3,3',4,4',5'-Hexachlorobiphenyl",HMDB0245420,PCB 157,Chemical
"2,3',4,4',5,5'-Hexachlorobiphenyl",HMDB0245441,PCB 167,Chemical
"2,4,4'-Trichlorobiphenyl",HMDB0245472,PCB 28,Chemical
"2,2',5,5'-Tetrachlorobiphenyl",HMDB0245377,PCB 52,Chemical
"2,4,4',5-Tetrachlorobiphenyl",HMDB0245473,PCB 74,Chemical
"2,2',4,4',5-Pentachlorobiphenyl",HMDB0245371,PCB 99,Chemical
"2,2',4,5,5'-Pentachlorobiphenyl",HMDB0246225,PCB 101,Chemical
"2,2',3,4,4',5'-Hexachlorobiphenyl",HMDB0246191,PCB 138,Chemical
"2,2',4,4',5,5'-Hexachlorobiphenyl",HMDB0245372,PCB 153,Chemical
"2,2',3,3',4,4',5-Heptachlorobiphenyl",HMDB0245359,PCB 170,Chemical
"2,2',3,4,4',5,5'-Heptachlorobiphenyl",HMDB0246192,PCB 180,Chemical
"2,2',3,4',5,5',6-Heptachlorobiphenyl",HMDB0246910,PCB 187,Chemical
"2,2',3,3',4,4',5,5',6,6'-Decachlorobiphenyl",HMDB0250912,PCB 209,Chemical
"2,2’,3,4,4’-Pentabromodiphenyl ether",HMDB0037516,BDE-85,Chemical
Capsanthone,HMDB0303575,,Chemical
alpha-Chaconine,HMDB0039353,α-Chaconine,Chemical
alpha-Solanine,HMDB0034202,α-Solanine,Chemical
Thymol sulfate,HMDB0062720,,Chemical
Dihydroferulic acid,HMDB0062121,3-(4-Hydroxy-3-methoxyphenyl)propanoic acid,Chemical
Cryptocapsin,HMDB0036923,,Chemical
Capsanthin,HMDB0036590,,Chemical
Cucurbitaxanthin A,HMDB0035319,,Chemical
Dihydrocapsiate,HMDB0034781,,Chemical
Capsiate,HMDB0034780,,Chemical
Demethoxycurcumin,HMDB0033801,,Chemical
Arsenobetaine,HMDB0033206,AsB,Chemical
Anethole,HMDB0030837,,Chemical
Nordihydrocapsiate,HMDB0034779,,Chemical
Linamarin,HMDB0033699,,Chemical
Bisdemethoxycurcumin,HMDB0002114,,Chemical
"2-Amino-3,8-dimethylimidazol[4,5-f]quinoxaline (MeIQx)",HMDB0029864,MeIQx,Chemical
Atractyligenin glucuronide,HMDB0240481,,Chemical
3-Feruloylquinic acid,FDB000249,,Chemical
4-Feruloylquinic acid,FDB000248,,Chemical
Carvacrol,FDB014512,Isothymol,Chemical
Ferulic acid,FDB012801,trans-Ferulic acid,Chemical
Isoferulic acid,FDB002700,,Chemical
S-allylmercapturic acid,FDB093754,ALMA,Chemical
N1-Methyl-4-pyridone-3-carboxamide,HMDB0004194,4PY,Chemical
Resveratrol,HMDB0003747,,Chemical
Hydroxyproline betaine,HMDB0029412,Betonicine,Chemical
Atractyligenin,HMDB0061114,,Chemical
Ergothioneine,HMDB0003045,"EGT, Thioneine",Chemical
Curcumin-O-glucoronide,HMDB0240491,,Chemical
Curcumin-O-sulfate,HMDB0240492,,Chemical
Capsaicin,HMDB0002227,,Chemical
Urolithin A,HMDB0013695,,Chemical
S-Allylcysteine,HMDB0034323,SAC,Chemical
Alline,HMDB0030533,,Chemical
(S)-Salsolinol,HMDB0042012,,Chemical
N-Methylpyridinium,HMDB0240545,,Chemical
Sulforaphane-glutathione,HMDB0240560,,Chemical
Sulforaphane-cysteine-glycine,HMDB0240559,,Chemical
Sulforaphane-cysteine,HMDB0240558,,Chemical
Sulforaphane-N-acetylcysteine,HMDB0061113,,Chemical
2-Thiothiazolidine-4-carboxylic acid,HMDB0041805,,Chemical
"2S,6S-/2S,6R-oxopropylpiperidine-2-carboxylic acid (2-OPP)",HMDB0341532,2-OPP,Chemical
6-Oxopiperidine-2-carboxylic acid (6-oxoPIP),HMDB0061705,6-oxo-PIP,Chemical
LysoPC(26:0/0:0),HMDB0029205,1-Lignoceroyl-sn-glycero-3-phosphocholine,Chemical
LysoPC(28:0/0:0),HMDB0029206,1-Montanoyl-sn-glycero-3-phosphocholine,Chemical
Dec-2-enoic acid,HMDB0340524,,Chemical
LysoPC(26:1/0:0),HMDB0029220,1-(17Z-Hexacosenoyl)-sn-glycero-3-phosphocholine,Chemical
SM(d18:0/16:0),HMDB0010168,Dihydropalmitoyl sphingomyelin,Chemical
Dodec-2-enoic acid,HMDB0340653,,Chemical
2-Aminoadipic acid,HMDB0302754,"Alpha-aminoadipate, α-Aminoadipic acid",Chemical
"2-trans,4-cis-Decadienoylcarnitine",HMDB0013325,,Chemical
LysoPC(28:1/0:0),HMDB0029221,1-(19Z-Octacosenoyl)-sn-glycero-3-phosphocholine,Chemical
Niobium,HMDB0061921,Nb,Chemical
Nadolol,HMDB0015334,,Chemical
Nortriptyline,HMDB0014680,,Chemical
Dihydrocodeine,HMDB0250396,,Chemical
Hydrocodone,HMDB0015091,,Chemical
Norhydrocodone,HMDB0061070,,Chemical
Oxycodone,HMDB0014640,,Chemical
Noroxycodone,HMDB0041960,,Chemical
Oxymorphone,HMDB0015323,,Chemical
Noroxymorphone,HMDB0061073,,Chemical
Naloxone,HMDB0015314,Narcan,Chemical
Morphine,HMDB0014440,,Chemical
Oxalates,HMDB0303018,Oxalic acid,Chemical
Oxazepam,HMDB0014980,,Chemical
Oxcarbazepine,HMDB0014914,,Chemical
"3b,5a,6b-Cholestanetriol",HMDB0003990,,Chemical
Perampanel,HMDB0256305,,Chemical
Pepsinogen I,HMDB0256300,Pepsinogen A,Chemical
Phenytoin,HMDB0014397,Diphenylhydantoin,Chemical
Sedoheptulose,HMDB0003219,,Chemical
Hexacarboxylporphyrin I,HMDB0000743,,Chemical
Pentacarboxylpophyrin I,HMDB0000789,,Chemical
"Coproporphyrin, IV",HMDB0000644,,Chemical
Posaconazole,HMDB0015392,,Chemical
Sulfocysteine,HMDB0258593,Cysteine-S-sulfate,Chemical
Xylitol,HMDB0242149,D-Xylitol,Chemical
Reverse-Triiodthyronine,HMDB0060074,rT3,Chemical
Deoxycholylglycine,HMDB0242414,"Glycodeoxycholic acid, GDCA",Chemical
Glycohyodeoxycholic Acid,HMDB0304944,GHDCA,Chemical
"3alpha,7alpha,12alpha-Trihydroxycholestanoic Acid",HMDB0341266,THCA,Chemical
"(4E,15E)-Bilirubin",HMDB0240584,,Chemical
"7a,12a-Dihydroxy-cholestene-3-one",HMDB0002197,,Chemical
Isopropanol,HMDB0031241,"Isopropyl alcohol, 2-Propanol",Chemical
Levetiracetam,HMDB0015333,,Chemical
Lidocaine,HMDB0014426,,Chemical
Loxapine,HMDB0014552,,Chemical
16a-OH-Dehydroepiandrosterone,HMDB0006774,16-alpha-Hydroxy-DHEA,Chemical
Pregnanetriolone,HMDB0041997,,Chemical
B-Cortolone,HMDB0013221,beta-Cortolone,Chemical
N-methylhistidine,HMDB0061685,"1-Methylhistidine, 3-Methylhistidine",Chemical
"Myristic Acid, C14:0",HMDB0000806,Tetradecanoic acid,Chemical
"Hexadecenoic Acid, C16:1w9",HMDB0033791,Palmitoleic acid,Chemical
"DPA, C22:5w6",HMDB0032562,"Docosapentaenoic acid, Osbond acid",Chemical
"Docosenoic Acid, C22:1",HMDB0302620,Erucic acid,Chemical
Felbamate,HMDB0015084,,Chemical
Gadolinium,HMDB0041899,Gd,Chemical
Glucopsychosine,HMDB0000596,Glucosylsphingosine,Chemical
7-Alpha-Hydroxy-4-Cholesten-3-One (7aC4),HMDB0012459,7aC4,Chemical
"7-Alpha,12-Alpha-Dihydroxycholest-4-en-3-One (7a12aC4)",HMDB0002197,7a12aC4,Chemical
Vitamin B5,HMDB0250782,Pantothenic acid,Chemical
Voriconazole,HMDB0014720,,Chemical
4-Hydroxy-2-oxoglutaric acid,HMDB0002070,,Chemical
Mycophenolic acid,HMDB0015159,,Chemical
Dermatan Sulfate,HMDB0000632,,Chemical
Keratan Sulfate,HMDB0062483,Keratan,Chemical
Amphetamine,HMDB0014328,,Chemical
Galectin-3,HMDB0248981,LGALS3,Chemical
Cocaine,HMDB0015043,,Chemical
Benzoylecgonine,HMDB0041836,,Chemical
cotinine (mothers heavy smokers),HMDB0001046,Cotinine,Chemical
cotinine (non-smokers mothers),HMDB0001046,Cotinine,Chemical
cotininine (smokers mothers),HMDB0001046,Cotinine,Chemical
Hydromorphone,HMDB0060824,,Chemical
Methadone,HMDB0014477,,Chemical
EDDP,HMDB0060931,"2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine",Chemical
Buprenorphine,HMDB0015057,,Chemical
Norbuprenorphine,HMDB0060546,,Chemical
Ephedrine,HMDB0015451,,Chemical
Levamisole,HMDB0014986,,Chemical
2-hydroxyethylflurazepam,HMDB0253267,,Chemical
7-aminoclonazepam,HMDB0041817,,Chemical
7-aminoflunitrazepam,HMDB0041817,,Chemical
Fentanyl,HMDB0014951,,Chemical
Norfentanyl (oxalate),HMDB0061006,,Chemical
Alfentanil,HMDB0014940,,Chemical
Remifentanil,HMDB0014940,,Chemical
sufentanil,HMDB0014846,,Chemical
Ketamine,HMDB0015352,,Chemical
Phencyclidine (PCP),HMDB0256399,PCP,Chemical
Xylazine,HMDB0259938,,Chemical
Methamphetamine,HMDB0015517,,Chemical
"3,4-Methylenedioxymethamphetamine (MDMA)",HMDB0041931,"MDMA, Ecstasy",Chemical
Nordiazepam,HMDB0060538,,Chemical
Etizolam,HMDB0041890,,Chemical
Alprazolam,HMDB0014548,Xanax,Chemical
Clonazepam,HMDB0015201,Klonopin,Chemical
Diazepam,HMDB0060538,Valium,Chemical
Flunitrazepam,HMDB0015510,Rohypnol,Chemical
Lorazepam,HMDB0014332,Ativan,Chemical
Nitrazepam,HMDB0015534,,Chemical
zonisamide,HMDB0015045,,Chemical
2-Hydroxybutyric acid,HMDB0000008,"2-Hydroxybutanoic acid, alpha-Hydroxybutyrate, 伪-Hydroxybutyric acid",Chemical Diagnostic
Alpha-ketoisovaleric acid,HMDB0000019,"2-Oxo-3-methylbutanoic acid, 伪-Ketoisovalerate, 3-Methyl-2-oxobutanoic acid",Chemical Diagnostic
Androsterone,HMDB0000031,5伪-Androstan-3伪-ol-17-one,Chemical Diagnostic
7-Dehydrocholesterol,HMDB0000032,"7-DHC, Provitamin D3, Cholesta-5,7-dien-3尾-ol",Chemical Diagnostic
Beta-Alanine,HMDB0000056,"3-Aminopropanoic acid, 尾-Alanine",Chemical Diagnostic
Cholesterol,HMDB0000067,Cholest-5-en-3尾-ol,Chemical Diagnostic
Estradiol,HMDB0000151,"E2, 17尾-Estradiol",Chemical Diagnostic
Alpha-Lactose,HMDB0000186,"伪-Lactose, Milk sugar",Chemical Diagnostic
Oxoglutaric acid,HMDB0000208,"Alpha-ketoglutarate, 伪-Ketoglutaric acid, 2-Oxoglutarate",Chemical Diagnostic
Oxoadipic acid,HMDB0000225,"Alpha-ketoadipic acid, 伪-Ketoadipate",Chemical Diagnostic
2-Hydroxyadipic acid,HMDB0000321,"Alpha-hydroxyadipate, 伪-Hydroxyadipic acid",Chemical Diagnostic
cis-4-Hydroxycyclohexylacetic acid,HMDB0000451,,Chemical Diagnostic
Etiocholanolone,HMDB0000490,5尾-Androstan-3伪-ol-17-one,Chemical Diagnostic
3-Methyl-2-oxovaleric acid,HMDB0000491,"KMV, 伪-Keto-尾-methylvaleric acid",Chemical Diagnostic
Allopregnanolone,HMDB0001449,"3α-Hydroxy-5α-pregnan-20-one, Brexanolone",Chemical Diagnostic
LysoPC(18:1(9Z)),HMDB0002815,1-Oleoyl-sn-glycero-3-phosphocholine,Chemical Diagnostic
8-Isoprostaglandin F2a,HMDB0005083,"8-iso-PGF2伪, iPF2伪-III",Chemical Diagnostic
Dibromochloromethane (Chlorodibromomethane),HMDB0059903,,Exposure Chemical
"trans-3-(2,2-Dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid (trans-DCCA)",HMDB0242452,trans-DCCA,Exposure Chemical
"2-Amino-9H-pyrido[2,3-b]indole (A-α-C)",HMDB0033141,"A-alpha-C, AαC",Exposure Chemical
Tetrachloromethane (Carbon tetrachloride),HMDB0031330,Carbon tetrachloride,Exposure Chemical
BCL10,,,Karyotype
BCL9,,,Karyotype
RBM15,,,Karyotype
FOXP1,,,Karyotype
BCL6,,,Karyotype
CCND3,,,Karyotype
TCL1A,,,Karyotype
MYC,,,Karyotype
PAX5,,,Karyotype
TLX1,,,Karyotype
CCND1,,,Karyotype
KMT2A,,,Karyotype
CCND2,,,Karyotype
BCL2,,,Karyotype
BCL3,,,Karyotype
IGL,,,Karyotype
JAK2,,,Karyotype
PDGFRA,,,Karyotype
ABL1,,,Karyotype
PDGFRB,,,Karyotype
NSD1,,,Karyotype
IL5,,,Karyotype
FGFR1,,,Karyotype
LCK,,,Karyotype
TAL1,,,Karyotype
TCF3,,,Karyotype
IL3,,,Karyotype
MYB,,,Karyotype
IRF4,,,Karyotype
TCRB,,,Karyotype
RHOH,,,Karyotype
(TCRB locus),,,Karyotype
(Loss of 7p),,,Karyotype
NOTCH1,,,Karyotype
TAL2,,,Karyotype
TLX3,,,Karyotype
LMO1,,,Karyotype
ETV6,,,Karyotype
LYL1,,,Karyotype
TRD,,,Karyotype
CDKN2A,,,Karyotype
EZH2,,,Karyotype
RPS14,,,Karyotype
ASXL1,,,Karyotype
RB1,,,Karyotype
ATM,,,Karyotype
(Iso-dicentric X),,,Karyotype
MECOM,,,Karyotype
(Loss of 7),,,Karyotype
RUNX1,,,Karyotype
RARA,,,Karyotype
DEK,,,Karyotype
NUP98,,,Karyotype
KAT6A,,,Karyotype
CBFB,,,Karyotype
FUS,,,Karyotype
TP53,,,Karyotype
(Various),,,Karyotype
(Gain of 1q),,,Karyotype
(Dicentric chr),,,Karyotype
(Whole Chromosome),,,Karyotype
(Derivative chr),,,Karyotype
(Loss of 5q),,,Karyotype
NPM1,,,Karyotype
(Translocation),,,Karyotype
(Loss of Y chromosome),,,Karyotype
(Deletion),,,Karyotype
SHANK3,,,Karyotype
CEBPA,,,Karyotype
CHRNA7,,,Karyotype
SPN,,,Karyotype
TBX2,,,Karyotype
(IGH locus),,,Karyotype
MAF,,,Karyotype
ALK,,,Karyotype
(IGL locus),,,Karyotype
PICALM,,,Karyotype
LMO2,,,Karyotype
LRP1,,,Karyotype
ERG,,,Karyotype
TBXAS1,,,Karyotype
MAGI2,,,Karyotype
PDE4B,,,Karyotype
PYGL,,,Karyotype
TOMM40,,,Karyotype
GLI3,,,Karyotype
IKZF4,,,Karyotype
STAT6,,,Karyotype
LPP,,,Karyotype
IL13,,,Karyotype
TLR1,,,Karyotype
CD247,,,Karyotype
IL2RA,,,Karyotype
IL1RL1,,,Karyotype
D2HGDH,,,Karyotype
GSDMB,,,Karyotype
SMAD3,,,Karyotype
IL7R,,,Karyotype
SORL1,,,Karyotype
CD2AP,,,Karyotype
SLC24A4,,,Karyotype
CR1,,,Karyotype
SQSTM1,,,Karyotype
ATXN3,,,Karyotype
KIF5A,,,Karyotype
NOTCH4,,,Karyotype
ZFHX3,,,Karyotype
HBEGF,,,Karyotype
CAV1,,,Karyotype
TBX5,,,Karyotype
MACROD2,,,Karyotype
MC1R,,,Karyotype
ITIH1,,,Karyotype
GFI1B,,,Karyotype
UGT1A8,,,Karyotype
CDKAL1,,,Karyotype
TACC3,,,Karyotype
DIRC3,,,Karyotype
FTO,,,Karyotype
ZNF365,,,Karyotype
PEX14,,,Karyotype
ELL,,,Karyotype
FGFR2,,,Karyotype
ITPR1,,,Karyotype
TCF7L2,,,Karyotype
SCN5A,,,Karyotype
NFIA,,,Karyotype
MMEL1,,,Karyotype
ETS1,,,Karyotype
ATXN2,,,Karyotype
UMOD,,,Karyotype
BANK1,,,Karyotype
SMAD7,,,Karyotype
WNK1,,,Karyotype
SMARCA4,,,Karyotype
TCF21,,,Karyotype
BTD,,,Karyotype
LPA,,,Karyotype
SH2B3,,,Karyotype
PRNP,,,Karyotype
IFNGR2,,,Karyotype
JAZF1,,,Karyotype
ATG16L1,,,Karyotype
NOD2,,,Karyotype
PVT1,,,Karyotype
CD86,,,Karyotype
AKT1,,,Karyotype
HNF1B,,,Karyotype
MMP8,,,Karyotype
SCN1A,,,Karyotype
CHEK2,,,Karyotype
XBP1,,,Karyotype
ADH1B,,,Karyotype
EGR2,,,Karyotype
SCN2A,,,Karyotype
IFI44L,,,Karyotype
SLC14A2,,,Karyotype
TERT,,,Karyotype
SLC2A9,,,Karyotype
FCRL3,,,Karyotype
TSHR,,,Karyotype
ABO,,,Karyotype
GRIK1,,,Karyotype
GCKR,,,Karyotype
HAVCR1,,,Karyotype
PARK7,,,Karyotype
MST1,,,Karyotype
FEN1,,,Karyotype
FCGR2A,,,Karyotype
TNFSF15,,,Karyotype
IRGM,,,Karyotype
CARD9,,,Karyotype
STAT3,,,Karyotype
IL23R,,,Karyotype
ALDH2,,,Karyotype
PTPN13,,,Karyotype
AFF3,,,Karyotype
APOC1,,,Karyotype
TP63,,,Karyotype
DMRT1,,,Karyotype
PRKCH,,,Karyotype
PLA2G6,,,Karyotype
MTAP,,,Karyotype
PLCE1,,,Karyotype
HPSE2,,,Karyotype
PRDM16,,,Karyotype
ANKRD11,,,Karyotype
CDH12,,,Karyotype
TNFRSF1A,,,Karyotype
IL6R,,,Karyotype
FES,,,Karyotype
COL4A1,,,Karyotype
NINJ1,,,Karyotype
LEPR,,,Karyotype
SCNN1A,,,Karyotype
MLLT10,,,Karyotype
OPTN,,,Karyotype
GPNMB,,,Karyotype
MCCC1,,,Karyotype
MAPT,,,Karyotype
GCH1,,,Karyotype
BST1,,,Karyotype
THADA,,,Karyotype
EIF2AK3,,,Karyotype
SLCO1A2,,,Karyotype
SLC22A3,,,Karyotype
IFIH1,,,Karyotype
REV3L,,,Karyotype
COG6,,,Karyotype
DDX58,,,Karyotype
NOS2,,,Karyotype
TNFAIP3,,,Karyotype
EPAS1,,,Karyotype
SCARB1,,,Karyotype
MEIS1,,,Karyotype
MYT1,,,Karyotype
BTBD9,,,Karyotype
STAT4,,,Karyotype
MANBA,,,Karyotype
ATP2A2,,,Karyotype
ADAMTSL3,,,Karyotype
GIGYF2,,,Karyotype
CACNB2,,,Karyotype
CHRNA3,,,Karyotype
GRM3,,,Karyotype
SRR,,,Karyotype
CNTN4,,,Karyotype
CACNA1C,,,Karyotype
FURIN,,,Karyotype
SRC,,,Karyotype
WDFY4,,,Karyotype
NCF2,,,Karyotype
ITGAM,,,Karyotype
KDM4C,,,Karyotype
IRAK1,,,Karyotype
IL19,,,Karyotype
PCSK9,,,Karyotype
NHS,,,Karyotype
TCN2,,,Karyotype
AHI1,,,Karyotype
PTH1R,,,Karyotype
SMYD3,,,Karyotype
RUNX2,,,Karyotype
HDAC9,,,Karyotype
EP300,,,Karyotype
COL11A1,,,Karyotype
TNC,,,Karyotype
LMX1B,,,Karyotype
SMO,,,Karyotype
HLA-DPB1,,,Karyotype
GNAS,,,Karyotype
APOE,,,Karyotype
SPI1,,,Karyotype
BRCA1,,,Karyotype
BRCA2,,,Karyotype
DPYD,,,Karyotype
MSH6,,,Karyotype
MLH1,,,Karyotype
MSH2,,,Karyotype
PMS2,,,Karyotype
PAH,,,Karyotype
USH2A,,,Karyotype
CDH23,,,Karyotype
SHOC2,,,Karyotype
CFTR,,,Karyotype
PTEN,,,Karyotype
MAP2K2,,,Karyotype
G6PD,,,Karyotype
MYO7A,,,Karyotype
CDH1,,,Karyotype
KRAS,,,Karyotype
HRAS,,,Karyotype
SOS1,,,Karyotype
PTPN11,,,Karyotype
MAP2K1,,,Karyotype
RAF1,,,Karyotype
BRAF,,,Karyotype
MYH7,,,Karyotype
EPHX1,,,Karyotype
EGFR,,,Karyotype
ABCG2,,,Karyotype
UMPS,,,Karyotype
CPPB,,,Karyotype
RFB,,,Karyotype
CTXA,,,Karyotype
HLYA,,,Karyotype
TOX,,,Karyotype
POLA,,,Karyotype
IS6110,,,Karyotype
FLAB,,,Karyotype
OSPA,,,Karyotype
IS481,,,Karyotype
PAG,,,Karyotype
GP,,,Karyotype
NP,,,Karyotype
HMBS,,,Karyotype
GAG,,,Karyotype
N,,,Karyotype
Core Antigen Gene,,,Karyotype
Surface Antigen Gene,,,Karyotype
GB,,,Karyotype
TSA,,,Karyotype
ACADSB,,,Karyotype
CYP21A2,,,Karyotype
HMGCS2,,,Karyotype
AUH,,,Karyotype
FLT3,,,Karyotype
IDH2,,,Karyotype
KIT,,,Karyotype
ABCD1,,,Karyotype
ADSL,,,Karyotype
SLC25A13,,,Karyotype
ABCA4,,,Karyotype
FBLN5,,,Karyotype
HGD,,,Karyotype
SERPINA1,,,Karyotype
APP,,,Karyotype
PSEN1,,,Karyotype
FIG4,,,Karyotype
VCP,,,Karyotype
MATR3,,,Karyotype
DCTN1,,,Karyotype
SOD1,,,Karyotype
TARDBP,,,Karyotype
ALS2,,,Karyotype
SETX,,,Karyotype
VAPB,,,Karyotype
COL4A4,,,Karyotype
FOXP3,,,Karyotype
HBB,,,Karyotype
TTR,,,Karyotype
SERPINC1,,,Karyotype
DDC,,,Karyotype
AGA,,,Karyotype
KCNQ1,,,Karyotype
CHRNA1,,,Karyotype
SHANK2,,,Karyotype
EHMT1,,,Karyotype
MBD5,,,Karyotype
MEF2C,,,Karyotype
NR3C2,,,Karyotype
RNF135,,,Karyotype
TSC2,,,Karyotype
NLGN3,,,Karyotype
CDKL5,,,Karyotype
POLG,,,Karyotype
STXBP1,,,Karyotype
PKD2,,,Karyotype
PKD1,,,Karyotype
CLCNKA,,,Karyotype
GJB2,,,Karyotype
GPSM2,,,Karyotype
GRXCR1,,,Karyotype
LOXHD1,,,Karyotype
MARVELD2,,,Karyotype
OTOF,,,Karyotype
SLC26A4,,,Karyotype
TECTA,,,Karyotype
TMC1,,,Karyotype
USH1G,,,Karyotype
WHRN,,,Karyotype
PALB2,,,Karyotype
PTCH1,,,Karyotype
FGFR3,,,Karyotype
TSC1,,,Karyotype
F11,,,Karyotype
F7,,,Karyotype
FGA,,,Karyotype
FGG,,,Karyotype
SERPINF2,,,Karyotype
VWF,,,Karyotype
F8,,,Karyotype
F9,,,Karyotype
CNGA3,,,Karyotype
NR2E3,,,Karyotype
BRIP1,,,Karyotype
NF1,,,Karyotype
RAD51C,,,Karyotype
GNRHR,,,Karyotype
BARD1,,,Karyotype
ERBB2,,,Karyotype
ESR1,,,Karyotype
HERC2,,,Karyotype
PIK3CA,,,Karyotype
SMAD4,,,Karyotype
NBN,,,Karyotype
RAD50,,,Karyotype
DSP,,,Karyotype
PLN,,,Karyotype
MYBPC3,,,Karyotype
PROK2,,,Karyotype
ACTA2,,,Karyotype
BAG3,,,Karyotype
CASQ2,,,Karyotype
CBS,,,Karyotype
COL3A1,,,Karyotype
COL5A1,,,Karyotype
DMD,,,Karyotype
DSG2,,,Karyotype
EMD,,,Karyotype
FBN1,,,Karyotype
FLNA,,,Karyotype
GLA,,,Karyotype
KCNH2,,,Karyotype
KCNJ2,,,Karyotype
LAMP2,,,Karyotype
LMNA,,,Karyotype
MYH11,,,Karyotype
MYL2,,,Karyotype
PKP2,,,Karyotype
PLOD1,,,Karyotype
PRKAG2,,,Karyotype
RBM20,,,Karyotype
RYR2,,,Karyotype
SLC2A10,,,Karyotype
TAZ,,,Karyotype
TGFB3,,,Karyotype
TGFBR1,,,Karyotype
TGFBR2,,,Karyotype
TMEM43,,,Karyotype
TNNI3,,,Karyotype
TNNT2,,,Karyotype
TPM1,,,Karyotype
TTN,,,Karyotype
SLC25A20,,,Karyotype
CPT1A,,,Karyotype
MMAA,,,Karyotype
MMAB,,,Karyotype
CTNNB1,,,Karyotype
COL4A5,,,Karyotype
MKS1,,,Karyotype
NPHP3,,,Karyotype
ALMS1,,,Karyotype
GATA3,,,Karyotype
AXIN2,,,Karyotype
BAX,,,Karyotype
BUB1,,,Karyotype
DCC,,,Karyotype
DLC1,,,Karyotype
FLCN,,,Karyotype
MCC,,,Karyotype
MLH3,,,Karyotype
MUTYH,,,Karyotype
PPARG,,,Karyotype
PTPRJ,,,Karyotype
RAD54B,,,Karyotype
PLA2G2A,,,Karyotype
CYP11B1,,,Karyotype
HSD3B7,,,Karyotype
AMACR,,,Karyotype
DUOX2,,,Karyotype
TPO,,,Karyotype
MBL2,,,Karyotype
SLC3A1,,,Karyotype
SLC7A9,,,Karyotype
